,Open,High,Low,Close,Adj Close,Volume,Call Price,Put Price,SMA 126,SMA 252,SMA 756,%K,%D
2018-08-02,18.170000076293945,18.829999923706055,18.0,18.790000915527344,18.790000915527344,52867100.0,18.790000915527344,0.30078415329074193,13.744523820422945,12.598055544353667,11.390608457030442,68.83409466906754,63.07921904480464
2018-08-03,18.940000534057617,19.059999465942383,18.3700008392334,18.489999771118164,18.489999771118164,53232100.0,18.489999771118164,0.29598183366271036,13.81150794407678,12.62626982870556,11.408320097065477,62.10761166809825,64.27503254288843
2018-08-04,18.940000534057617,19.059999465942383,18.3700008392334,18.489999771118164,18.489999771118164,53232100.0,18.489999771118164,0.29598183366271036,13.878492067730615,12.654484113057455,11.42603173710051,62.10761166809825,64.34977266842132
2018-08-05,18.940000534057617,19.059999465942383,18.3700008392334,18.489999771118164,18.489999771118164,53232100.0,18.489999771118164,0.29598183366271036,13.945476191384452,12.682698397409348,11.443743377135544,62.10761166809825,62.10761166809825
2018-08-06,18.889999389648438,19.440000534057617,18.459999084472656,19.43000030517578,19.43000030517578,83579700.0,19.43000030517578,0.3110290529790075,14.024047624497186,12.71396823913332,11.462817451310537,83.18385664607287,69.13302666075644
2018-08-07,19.530000686645508,19.709999084472656,19.079999923706055,19.559999465942383,19.559999465942383,72822600.0,19.559999465942383,0.313110036778608,14.103492063189309,12.74726188750494,11.481891524854792,86.09863601052805,77.13003477489971
2018-08-08,19.459999084472656,19.770000457763672,19.260000228881836,19.579999923706055,19.579999923706055,52081400.0,19.579999923706055,0.31343019752691864,14.1813492018079,12.781984109727164,11.501058191218704,82.08954289114165,83.79067851591418
2018-08-09,19.579999923706055,19.709999084472656,19.079999923706055,19.100000381469727,19.100000381469727,46653400.0,19.100000381469727,0.3057465227607194,14.253412693265885,12.814563474957906,11.519484117548302,50.45872603128051,72.88230164431671
2018-08-10,19.09000015258789,19.479999542236328,18.850000381469727,19.059999465942383,19.059999465942383,65821100.0,19.059999465942383,0.3051062012640981,14.328412691752115,12.847619030210707,11.53789681543118,48.62382190615846,60.39069694286019
2018-08-11,19.09000015258789,19.479999542236328,18.850000381469727,19.059999465942383,19.059999465942383,65821100.0,19.059999465942383,0.3051062012640981,14.403412690238348,12.880674585463508,11.55630951331406,48.62382190615846,49.23545661453246
2018-08-12,19.09000015258789,19.479999542236328,18.850000381469727,19.059999465942383,19.059999465942383,65821100.0,19.059999465942383,0.3051062012640981,14.478412688724578,12.91373014071631,11.57472221119694,48.62382190615846,48.62382190615846
